10010	IGNORE	(Cookie No HttpOnly Flag)
10011	IGNORE	(Cookie Without Secure Flag)
10015	IGNORE	(Incomplete or No Cache-control Header Set)
10017	IGNORE	(Cross-Domain JavaScript Source File Inclusion)
10020	IGNORE	(Anti-clickjacking Header)
10021	IGNORE	(X-Content-Type-Options Header Missing)
10035	IGNORE	(Strict-Transport-Security Header Not Set)
10036	IGNORE	(Server Leaks Version Information via Server HTTP Response Header Field)
10037	IGNORE	(Server Leaks Information via X-Powered-By HTTP Response Header Field)
10038	IGNORE	(Content Security Policy (CSP) Header Not Set)
10040	IGNORE	(Secure Pages Include Mixed Content)
10096	IGNORE	(Timestamp Disclosure - Unix)
10098	IGNORE	(Cross-Domain Misconfiguration)
10202	IGNORE	(Absence of Anti-CSRF Tokens)
